time [Myr],wd1 [m],wd2 [m],wd3 [m],wd4 [m]
0.53,-1.7389369370630057,-1.7282531033107844,11.875458691706314,40.952046792233475
0.5302,-1.7329369370630054,-1.7222531033107842,11.863677378366585,40.958046792233475
0.5304,-1.7269369370630052,-1.716253103310791,11.869677378366585,40.964046792233475
0.5306,-1.720936937063005,-1.7102531033107908,11.85789359049085,40.970046792233475
0.5308,-1.7149369370630048,-1.7042531033107835,11.846976112370726,40.97604679223342
0.531,-1.7089369370630045,-1.6982531033107833,11.852161620422152,40.98204679223336
0.5312,-1.7029369370630043,-1.6922531033107902,11.839630171719246,40.988046792233305
0.5314,-1.696936937063004,-1.68625310331079,11.845630171719247,40.994046792233306
0.5316,-1.6909369370630074,-1.6802531033107897,11.85163017113053,41.000046792233306
0.5318,-1.6849369370630036,-1.6742531033107895,11.85763017113053,41.006046792233306
0.532,-1.6789369370630034,-1.6682531033107892,11.862794002853335,41.01204679223324
0.5322,-1.6729369370630032,-1.662253103310789,11.868794002853335,41.01804679223318
0.5324,-1.6669369370630065,-1.6562531033107888,11.874794002853335,41.02404679223312
0.5326,-1.6609369370630098,-1.6502531033107886,11.863657471694324,41.03004679223312
0.5328,-1.6549369370630025,-1.6442531033107883,11.85171762914764,41.03604679223312
0.533,-1.6489369370630058,-1.638253103310788,11.85771762914764,41.04173531726959
0.5332,-1.6429369370630056,-1.6322531033107879,11.862893926645764,41.03522798247998
0.5334,-1.636936937063009,-1.6262531033107877,11.868864628533206,41.02874052536309
0.5336,-1.6309369370630087,-1.6202531033107874,11.856771183858573,41.034513035377344
0.5338,-1.6249369370630014,-1.6142531033107872,11.86277118385858,41.03995329079878
0.534,-1.6189369370630082,-1.608253103310787,11.850779095551335,41.04595329079878
0.5342,-1.612936937063008,-1.6022531033107867,11.856779095551335,41.038570001160934
0.5344,-1.6069369370630078,-1.5962531033107865,11.861932593329602,41.044570001160935
0.5346,-1.6009369370630075,-1.5902531033107863,11.85061664872402,41.050570001160864
0.5348,-1.5949369370630073,-1.584253103310786,11.856563499907452,41.05657000116079
0.535,-1.588936937063007,-1.5782531033107858,11.861814950550617,41.06257000116079
0.5352,-1.5829369370630069,-1.5722531033107856,11.867762928247767,41.06794568100775
0.5354,-1.5769369370630066,-1.5662531033107854,11.873702509107787,41.061371527333726
0.5356,-1.5709369370630064,-1.5602531033107851,11.86135161483229,41.05518226417759
0.5358,-1.5649369370630062,-1.554253103310785,11.8672837133882,41.04860379572517
0.536,-1.558936937063006,-1.5482531033107847,11.872541601426839,41.053770116766344
0.5362,-1.5529369370630057,-1.5422531033107845,11.877903261463675,41.05891949746831
0.5364,-1.5469369370630055,-1.5362531033107842,11.883249806672584,41.06491949746831
