time [Myr],sac1 [m],sac2 [m],sac3 [m],sac4 [m],sac5 [m],sac6 [m],sac7 [m],sac8 [m],sac9 [m],sac10 [m],sac11 [m],sac12 [m],sac13 [m],sac14 [m],sac15 [m],sac16 [m],sac17 [m],sac18 [m],sac19 [m],sac20 [m],sac21 [m],sac22 [m],sac23 [m],sac24 [m],sac25 [m],sac26 [m],sac27 [m],sac28 [m],sac29 [m],sac30 [m]
0.72,49.887468168018174,51.53533366224752,53.208919698588325,54.85985302608473,56.544815314125884,58.220755287680035,59.87225133253386,61.52682596764552,63.27053686083196,63.40446420846787,50.91976059307465,33.28809974640687,27.3302026417849,24.289542687924236,20.23542145963451,18.013261594331247,18.70364250099132,17.368878987186047,16.30079236427614,15.495862105036617,14.727929826817348,14.778289234555931,13.763255911256628,13.073130402532355,12.49821859604203,12.890573364691658,12.955120485113815,14.696669484537031,14.131743195457245,13.458785134180145
0.74,49.887468168018174,51.53533366224752,53.208919698588325,54.85985302608473,56.544815314125884,58.220755287680035,59.87225133253386,61.52682596764552,63.27053686083196,63.40446420846787,53.542336449498286,34.30394336489046,28.214161971249705,24.941191724624385,20.54705611983291,18.066806460652362,18.772355738087153,17.522675745848037,16.647294165691036,15.659619393435195,15.22222326234227,15.250486064149312,14.078491786369407,13.412265253249602,13.27145174238817,12.995012973709628,13.206896974419305,15.045755209358004,14.658438113373679,14.050511628318418
0.76,49.887468168018174,51.53533366224752,53.208919698588325,54.85985302608473,56.544815314125884,58.220755287680035,59.87225133253386,61.52682596764552,63.27053686083196,63.40446420846787,57.76351521651681,35.64015846983674,28.561934499885194,25.405701130774457,21.18948279574234,18.5225146040622,19.033818865082065,17.83323046127501,16.86059711209725,16.188966265213878,15.604678000865597,15.96615471094391,14.528290968236512,13.991337060563085,13.890384169086786,13.531244919366062,13.847677795448645,15.572679824568542,15.12252944346494,14.676040424091905
0.78,49.887468168018174,51.53533366224752,53.208919698588325,54.85985302608473,56.544815314125884,58.220755287680035,59.87225133253386,61.52682596764552,63.27053686083196,63.5089506753963,62.10531066829094,37.86389144948248,29.039298802768723,25.563103786738655,21.335728673652824,19.048124742333403,19.686316879192066,18.097085874884726,17.457667929591825,17.081936401225953,16.13684933568366,16.64224416659117,15.271562562637675,14.66199027801693,14.290952166939341,14.14273080874272,14.513063228277183,16.20532477215102,15.621138545408423,14.995236455082239
0.8,50.214073102449696,51.8982830447384,53.48487957118757,55.04418816704097,56.81784423879288,58.54830864860047,60.14541515807334,61.79225697604307,63.39569748077121,64.97807625007783,65.69343100873577,39.36737464411001,30.11277273086687,26.621449746942396,21.88807877514839,19.709150687811093,19.864164419039515,18.22867480881455,17.477386233867787,17.104997113722224,16.336378962211597,16.919156440813673,15.749428570484488,14.848167636118022,14.539449942978683,14.74205649197031,15.009589371075265,16.62169650060596,16.190246006931428,15.076031839399981
0.82,51.821935160573695,53.55427560337457,55.190971705888295,56.85756556449134,58.479809231558676,60.0427935646028,61.82917877586882,63.54581621989264,65.13916259748525,66.86186622153222,67.36064950448215,40.75375433549082,31.04539455655666,27.375394074015045,22.139540064510935,19.823856750461996,19.97511980872224,18.737924806237974,17.85431629059247,17.216956894282184,16.623880994160512,17.152083129577456,16.132422355551373,15.162521128806953,15.20542504507502,15.110966301048052,15.146931108545473,17.078500749672322,16.522799913022485,15.396688267315506
0.84,52.977770599648224,54.62909804428978,56.33702474310678,57.98417746425027,59.55191060427936,61.309720382063006,63.02066767617785,64.64720802480463,66.37646730674443,67.91084216625477,69.44121043271002,43.303891046098094,31.638092386980095,27.57041577455389,22.387483265852193,20.39811740127419,20.68167700327822,18.979608115034015,17.993436231071662,17.250209475674176,17.024754817988324,17.866387438843063,16.45722449061453,15.670126019105194,15.85476813734383,15.516189273787782,15.580939528088841,17.431288589057836,16.867958324580048,15.931299370617548
0.86,53.187631306983036,54.881225420948965,56.54890707486618,58.24267210682413,59.90466537389162,61.55196822488194,63.267635852211775,64.86235669886639,66.53965153048836,68.24152776287677,69.8712102632595,50.55539032219603,31.86880313650171,27.67916395867126,22.71442819653154,21.051943549707115,21.162386845486353,19.884855189652136,18.52967184317868,17.721170093488517,17.55527017806246,18.049469711194693,16.847077353144563,16.413588197836926,16.338268726832656,15.750464912757534,16.14600168420066,18.140475627897576,17.32362134614564,16.33777902989092
0.88,53.187631306983036,54.881225420948965,56.54890707486618,58.24267210682413,59.90466537389162,61.55196822488194,63.267635852211775,64.86235669886639,66.53965153048836,68.24152776287677,69.8712102632595,53.944423963922176,32.875557997233535,28.2254525050184,23.309572383581024,21.698939275232373,21.386559903332202,19.941126927447087,18.74501804077247,18.432745483693182,18.106791406115814,18.15314921080804,17.119134291300355,17.16151508570201,16.952513387016847,16.3913739285866,16.8863513340326,18.694018325182725,17.467362007162514,16.406586657192666
0.9,53.187631306983036,54.881225420948965,56.54890707486618,58.24267210682413,59.90466537389162,61.55196822488194,63.267635852211775,64.86235669886639,66.53965153048836,68.24152776287677,69.8712102632595,60.259367996884386,34.07599963886845,28.996996148857697,24.064657226187435,22.161241360946665,21.826916643612694,20.246004892337666,19.09253202430568,18.609404054766504,18.420475531395116,18.23822998544329,17.284571373045615,17.58017327070278,17.336475048030774,17.09982381507159,17.2836250809878,19.00124881343599,17.555554792361587,16.40929292657034
0.92,53.187631306983036,54.881225420948965,56.54890707486618,58.24267210682413,59.90466537389162,61.55196822488194,63.267635852211775,64.86235669886639,66.53965153048836,68.24152776287677,69.8712102632595,64.94457570164846,35.37234174598791,29.5655583718461,24.581138846341176,22.29115527896829,22.125454963872322,20.9832240840864,19.753352795407853,19.14892685574711,18.884948126253843,18.749795240995194,17.838639072220854,17.710630256793536,17.884182517957065,17.79728372940943,17.963232602789763,19.331874445212023,18.184397148354282,16.935114697054306
0.94,53.187631306983036,54.881225420948965,56.54890707486618,58.24267210682413,59.90466537389162,61.55196822488194,63.267635852211775,64.86235669886639,66.53965153048836,68.24152776287677,69.8712102632595,67.19041035126781,36.731524546392365,29.906524166808286,24.748198904341812,22.929537924606684,22.553781396709656,21.305601631056753,20.261957638587937,19.690431134229613,19.10332979113162,19.09759814943176,18.274873809242877,18.30573904917374,18.282492752539483,18.29991920476475,18.653413273828246,19.726119769700915,18.595899964898308,17.446823033506636
0.96,53.187631306983036,54.881225420948965,56.54890707486618,58.24267210682413,59.90466537389162,61.55196822488194,63.267635852211775,64.86235669886639,66.53965153048836,68.24152776287677,69.8712102632595,67.19041035126781,39.57422900344259,30.58402344262229,25.51800250393296,23.702067585221045,22.76487361974255,21.69090621389961,20.865890725876106,20.32642851036619,19.827550454911506,19.589223106286866,18.555598160678365,18.641381928932567,18.61713532785012,18.40166952872355,18.92449085619051,20.046421747297938,19.063592920799483,17.584676384658778
0.98,53.187631306983036,54.881225420948965,56.54890707486618,58.24267210682413,59.90466537389162,61.55196822488194,63.267635852211775,64.86235669886639,66.53965153048836,68.24152776287677,69.8712102632595,68.12431317266304,47.36514326453902,31.511081926883573,25.96998117872992,24.269229558105618,23.069603561880093,22.02094764582923,21.476540599096566,20.857059865423626,20.197627329821067,19.94671597695203,18.798463354145202,18.758910719256235,18.70251905434955,18.791267170923376,19.548219874559,20.614586043366447,19.47213802484457,17.679697090663755
1.0,53.187631306983036,54.881225420948965,56.54890707486618,58.24267210682413,59.90466537389162,61.55196822488194,63.267635852211775,64.86235669886639,66.53965153048836,68.24152776287677,69.8712102632595,69.53204359229635,51.69102164851717,32.14151899642292,26.719134048588604,24.54596581795403,23.6143017541579,22.44008554473484,22.019358286203435,21.612117125936305,20.550734112809085,20.195152107433582,19.53280368660492,19.247605938572676,19.0348943729026,19.03110673936199,20.04346139326807,21.194001526013828,19.938379949802883,18.02302602545342
1.02,53.187631306983036,54.881225420948965,56.54890707486618,58.24267210682413,59.90466537389162,61.55196822488194,63.267635852211775,64.86235669886639,66.53965153048836,68.24152776287677,69.8712102632595,71.17544453019568,58.46846529508551,32.645500537595765,27.087087181894212,24.8165123528967,24.08164745790968,23.230766067941385,22.44282913803662,21.918642805639777,20.571986913304798,20.321701358221148,19.747938467925305,19.844069423394522,19.54499275591119,19.87938332949535,20.37824513154915,21.432441157744613,20.52296688925484,18.33718293286182
1.04,53.88236298654487,55.52879126979782,57.16957110175456,58.8444557108667,60.50315952637678,62.21409274695308,63.85032320467339,65.5508855456914,67.17766697883634,68.8714307613207,70.50784868926904,72.1847720961451,70.92315220137493,33.02128572174205,27.947872841670055,25.581296065386596,24.638965360177433,23.686651800879794,23.05262712031141,22.312733319043957,20.83158912201893,20.56419691064362,20.256577859777913,20.13669625923715,19.969359455829288,20.209436965348516,20.56264106220343,22.03737223005165,20.95881595044085,19.137117704408414
